threads,problem_size,scaling,repeat,time
2,10000000,strong,7,0.162582
3,10000000,strong,7,0.108432
5,10000000,weak,6,0.325218
4,10000000,strong,7,0.091630
6,10000000,weak,6,0.325259
5,10000000,strong,7,0.065159
7,10000000,weak,6,0.325271
6,10000000,strong,7,0.054333
8,10000000,weak,6,0.325292
7,10000000,strong,7,0.046557
9,10000000,weak,6,0.325198
8,10000000,strong,7,0.040867
10,10000000,weak,6,0.325203
9,10000000,strong,7,0.036326
10,10000000,strong,7,0.032805
11,10000000,weak,6,0.325306
11,10000000,strong,7,0.029788
12,10000000,weak,6,0.325275
12,10000000,strong,7,0.027652
1,10000000,weak,7,0.325407
1,10000000,strong,8,0.337513
2,10000000,weak,7,0.325278
2,10000000,strong,8,0.170609
3,10000000,weak,7,0.325114
3,10000000,strong,8,0.108391
4,10000000,weak,7,0.325287
4,10000000,strong,8,0.081384
5,10000000,weak,7,0.325204
5,10000000,strong,8,0.065187
6,10000000,strong,8,0.054314
6,10000000,weak,7,0.325341
7,10000000,strong,8,0.046591
7,10000000,weak,7,0.325150
8,10000000,strong,8,0.040758
8,10000000,weak,7,0.325379
9,10000000,strong,8,0.036311
9,10000000,weak,7,0.325465
10,10000000,strong,8,0.032788
10,10000000,weak,7,0.337058
11,10000000,strong,8,0.029801
12,10000000,strong,8,0.027602
11,10000000,weak,7,0.325544
1,10000000,strong,9,0.325780
12,10000000,weak,7,0.325582
2,10000000,strong,9,0.162503
1,10000000,weak,8,0.325418
3,10000000,strong,9,0.108384
2,10000000,weak,8,0.325918
4,10000000,strong,9,0.089351
3,10000000,weak,8,0.325187
5,10000000,strong,9,0.065149
4,10000000,weak,8,0.333342
6,10000000,strong,9,0.054283
5,10000000,weak,8,0.325323
7,10000000,strong,9,0.046598
8,10000000,strong,9,0.040732
6,10000000,weak,8,0.325484
9,10000000,strong,9,0.036252
7,10000000,weak,8,0.325424
10,10000000,strong,9,0.032700
8,10000000,weak,8,0.325554
11,10000000,strong,9,0.029778
9,10000000,weak,8,0.325259
12,10000000,strong,9,0.027207
10,10000000,weak,8,0.325294
1,10000000,strong,10,0.325165
11,10000000,weak,8,0.325268
2,10000000,strong,10,0.162428
3,10000000,strong,10,0.108311
12,10000000,weak,8,0.325363
4,10000000,strong,10,0.089128
1,10000000,weak,9,0.325150
5,10000000,strong,10,0.065129
2,10000000,weak,9,0.325347
6,10000000,strong,10,0.056263
3,10000000,weak,9,0.325083
7,10000000,strong,10,0.046559
4,10000000,weak,9,0.333088
8,10000000,strong,10,0.040729
5,10000000,weak,9,0.325416
9,10000000,strong,10,0.036347
10,10000000,strong,10,0.032725
6,10000000,weak,9,0.325384
11,10000000,strong,10,0.029724
7,10000000,weak,9,0.325204
12,10000000,strong,10,0.035272
8,10000000,weak,9,0.325262
9,10000000,weak,9,0.325241
10,10000000,weak,9,0.325257
11,10000000,weak,9,0.337021
12,10000000,weak,9,0.333773
1,10000000,weak,10,0.325171
2,10000000,weak,10,0.325622
3,10000000,weak,10,0.325671
4,10000000,weak,10,0.333621
5,10000000,weak,10,0.325200
6,10000000,weak,10,0.325459
7,10000000,weak,10,0.325186
8,10000000,weak,10,0.325297
9,10000000,weak,10,0.325204
10,10000000,weak,10,0.325192
11,10000000,weak,10,0.325310
12,10000000,weak,10,0.325351
1,1000000000,strong,1,32.471658
2,1000000000,strong,1,16.246296
3,1000000000,strong,1,10.826445
1,1000000000,weak,1,32.506713
4,1000000000,strong,1,8.120951
5,1000000000,strong,1,6.496356
6,1000000000,strong,1,5.416264
7,1000000000,strong,1,4.644347
2,1000000000,weak,1,32.509083
8,1000000000,strong,1,4.065041
9,1000000000,strong,1,3.744826
10,1000000000,strong,1,3.263252
11,1000000000,strong,1,2.962456
12,1000000000,strong,1,2.720916
3,1000000000,weak,1,32.510845
1,1000000000,strong,2,32.476689
4,1000000000,weak,1,32.513205
2,1000000000,strong,2,16.237330
3,1000000000,strong,2,10.826207
4,1000000000,strong,2,8.416799
5,1000000000,weak,1,32.513765
5,1000000000,strong,2,6.496289
6,1000000000,strong,2,5.413861
7,1000000000,strong,2,4.642063
8,1000000000,strong,2,4.061046
9,1000000000,strong,2,3.614499
10,1000000000,strong,2,3.258215
11,1000000000,strong,2,3.061332
6,1000000000,weak,1,32.516018
12,1000000000,strong,2,2.713304
7,1000000000,weak,1,32.520630
1,1000000000,strong,3,32.470980
2,1000000000,strong,3,16.239068
3,1000000000,strong,3,10.826769
8,1000000000,weak,1,32.519849
4,1000000000,strong,3,8.120050
5,1000000000,strong,3,6.497721
6,1000000000,strong,3,5.416137
7,1000000000,strong,3,4.642732
9,1000000000,weak,1,32.517774
8,1000000000,strong,3,4.062248
9,1000000000,strong,3,3.623604
10,1000000000,strong,3,3.370612
11,1000000000,strong,3,2.970697
12,1000000000,strong,3,2.744471
10,1000000000,weak,1,32.524866
1,1000000000,strong,4,32.490891
11,1000000000,weak,1,33.692424
2,1000000000,strong,4,16.249206
3,1000000000,strong,4,10.835637
4,1000000000,strong,4,8.125376
5,1000000000,strong,4,6.501463
12,1000000000,weak,1,32.520375
6,1000000000,strong,4,5.418253
7,1000000000,strong,4,4.646313
8,1000000000,strong,4,4.064255
9,1000000000,strong,4,3.622031
10,1000000000,strong,4,3.266603
11,1000000000,strong,4,2.968538
1,1000000000,weak,2,32.505179
12,1000000000,strong,4,2.741304
2,1000000000,weak,2,32.508167
1,1000000000,strong,5,32.494697
2,1000000000,strong,5,16.257559
3,1000000000,strong,5,10.834379
3,1000000000,weak,2,32.508793
4,1000000000,strong,5,8.133471
5,1000000000,strong,5,6.504426
6,1000000000,strong,5,5.418191
7,1000000000,strong,5,4.644474
4,1000000000,weak,2,32.529208
8,1000000000,strong,5,4.212432
9,1000000000,strong,5,3.621957
10,1000000000,strong,5,3.265495
11,1000000000,strong,5,3.075578
12,1000000000,strong,5,2.733729
5,1000000000,weak,2,32.512816
1,1000000000,strong,6,32.492752
6,1000000000,weak,2,32.514901
2,1000000000,strong,6,16.249013
3,1000000000,strong,6,10.838720
4,1000000000,strong,6,8.126976
7,1000000000,weak,2,32.515492
5,1000000000,strong,6,6.500952
6,1000000000,strong,6,5.418111
7,1000000000,strong,6,4.813866
8,1000000000,strong,6,4.064360
9,1000000000,strong,6,3.621231
10,1000000000,strong,6,3.266099
8,1000000000,weak,2,32.517830
11,1000000000,strong,6,2.966540
12,1000000000,strong,6,2.813616
9,1000000000,weak,2,33.694258
1,1000000000,strong,7,32.495532
2,1000000000,strong,7,16.249127
3,1000000000,strong,7,10.833864
10,1000000000,weak,2,33.693021
4,1000000000,strong,7,8.125844
5,1000000000,strong,7,6.504554
6,1000000000,strong,7,5.418137
7,1000000000,strong,7,4.644145
8,1000000000,strong,7,4.064593
11,1000000000,weak,2,33.698331
9,1000000000,strong,7,3.745169
10,1000000000,strong,7,3.264015
11,1000000000,strong,7,3.064044
12,1000000000,strong,7,2.717474
12,1000000000,weak,2,32.521527
1,1000000000,strong,8,32.487552
1,1000000000,weak,3,32.504980
2,1000000000,strong,8,16.245761
3,1000000000,strong,8,10.839505
4,1000000000,strong,8,8.127132
5,1000000000,strong,8,6.500940
2,1000000000,weak,3,32.507110
6,1000000000,strong,8,5.417401
7,1000000000,strong,8,4.643969
8,1000000000,strong,8,4.064055
9,1000000000,strong,8,3.621911
10,1000000000,strong,8,3.265925
11,1000000000,strong,8,2.967337
3,1000000000,weak,3,32.511616
12,1000000000,strong,8,2.741275
4,1000000000,weak,3,32.513476
1,1000000000,strong,9,32.495905
2,1000000000,strong,9,16.257941
3,1000000000,strong,9,10.833697
5,1000000000,weak,3,32.508864
4,1000000000,strong,9,8.127491
5,1000000000,strong,9,6.501392
6,1000000000,strong,9,5.418362
7,1000000000,strong,9,4.644580
6,1000000000,weak,3,32.514751
8,1000000000,strong,9,4.065453
9,1000000000,strong,9,3.622545
10,1000000000,strong,9,3.265350
11,1000000000,strong,9,2.966382
12,1000000000,strong,9,2.740535
7,1000000000,weak,3,32.549714
1,1000000000,strong,10,32.494341
8,1000000000,weak,3,33.691454
2,1000000000,strong,10,16.258114
3,1000000000,strong,10,10.833650
4,1000000000,strong,10,8.128484
5,1000000000,strong,10,6.502356
9,1000000000,weak,3,32.518451
6,1000000000,strong,10,5.418051
7,1000000000,strong,10,4.644742
8,1000000000,strong,10,4.212228
9,1000000000,strong,10,3.621979
10,1000000000,strong,10,3.265983
11,1000000000,strong,10,3.064029
10,1000000000,weak,3,32.519972
12,1000000000,strong,10,2.808477
11,1000000000,weak,3,32.523349
12,1000000000,weak,3,32.558860
1,1000000000,weak,4,32.506048
2,1000000000,weak,4,32.507858
3,1000000000,weak,4,32.516477
4,1000000000,weak,4,32.506204
5,1000000000,weak,4,32.510631
6,1000000000,weak,4,32.512236
7,1000000000,weak,4,32.523270
8,1000000000,weak,4,32.511243
9,1000000000,weak,4,32.511986
10,1000000000,weak,4,32.512251
11,1000000000,weak,4,32.536989
12,1000000000,weak,4,32.520440
1,1000000000,weak,5,32.502716
2,1000000000,weak,5,32.531351
3,1000000000,weak,5,32.511182
4,1000000000,weak,5,32.534400
5,1000000000,weak,5,32.524120
6,1000000000,weak,5,32.511228
7,1000000000,weak,5,33.701373
8,1000000000,weak,5,32.514824
9,1000000000,weak,5,32.514533
10,1000000000,weak,5,32.515211
11,1000000000,weak,5,32.520847
12,1000000000,weak,5,32.519937
1,1000000000,weak,6,32.505725
2,1000000000,weak,6,32.516647
3,1000000000,weak,6,32.551495
4,1000000000,weak,6,32.517821
5,1000000000,weak,6,32.514975
6,1000000000,weak,6,33.702175
7,1000000000,weak,6,32.516429
8,1000000000,weak,6,32.515753
9,1000000000,weak,6,32.517342
10,1000000000,weak,6,32.533135
11,1000000000,weak,6,32.543555
12,1000000000,weak,6,32.525910
1,1000000000,weak,7,32.504759
2,1000000000,weak,7,32.519163
3,1000000000,weak,7,32.512295
4,1000000000,weak,7,32.521641
5,1000000000,weak,7,33.676233
6,1000000000,weak,7,32.515768
7,1000000000,weak,7,32.517765
8,1000000000,weak,7,32.520105
9,1000000000,weak,7,32.516514
10,1000000000,weak,7,32.519348
11,1000000000,weak,7,33.690270
12,1000000000,weak,7,32.524852
1,1000000000,weak,8,32.537295
2,1000000000,weak,8,32.519745
3,1000000000,weak,8,32.516446
4,1000000000,weak,8,32.519054
5,1000000000,weak,8,32.514846
6,1000000000,weak,8,32.515553
7,1000000000,weak,8,32.515781
8,1000000000,weak,8,32.517837
