threads,problem_size,scaling,repeat,time
2,1000000,weak,8,0.033322
6,1000000,strong,8,0.005509
3,1000000,weak,8,0.032632
7,1000000,strong,8,0.004710
4,1000000,weak,8,0.032664
8,1000000,strong,8,0.004135
5,1000000,weak,8,0.032697
9,1000000,strong,8,0.003772
6,1000000,weak,8,0.034053
10,1000000,strong,8,0.003289
7,1000000,weak,8,0.032905
11,1000000,strong,8,0.003103
8,1000000,weak,8,0.032774
12,1000000,strong,8,0.002781
9,1000000,weak,8,0.032729
1,1000000,strong,9,0.033236
10,1000000,weak,8,0.034541
2,1000000,strong,9,0.023120
11,1000000,weak,8,0.036735
3,1000000,strong,9,0.010878
4,1000000,strong,9,0.008252
12,1000000,weak,8,0.035508
5,1000000,strong,9,0.006574
1,1000000,weak,9,0.032593
6,1000000,strong,9,0.005533
2,1000000,weak,9,0.046192
7,1000000,strong,9,0.004855
3,1000000,weak,9,0.032625
8,1000000,strong,9,0.004118
4,1000000,weak,9,0.033459
9,1000000,strong,9,0.003660
5,1000000,weak,9,0.033139
10,1000000,strong,9,0.003308
6,1000000,weak,9,0.032785
11,1000000,strong,9,0.002999
7,1000000,weak,9,0.032797
12,1000000,strong,9,0.002752
8,1000000,weak,9,0.033951
1,1000000,strong,10,0.032968
9,1000000,weak,9,0.033813
2,1000000,strong,10,0.016591
10,1000000,weak,9,0.032702
3,1000000,strong,10,0.010867
11,1000000,weak,9,0.032609
4,1000000,strong,10,0.016414
12,1000000,weak,9,0.032687
5,1000000,strong,10,0.006592
1,1000000,weak,10,0.033147
6,1000000,strong,10,0.005495
2,1000000,weak,10,0.032583
7,1000000,strong,10,0.004701
3,1000000,weak,10,0.033019
8,1000000,strong,10,0.004194
4,1000000,weak,10,0.040778
9,1000000,strong,10,0.003762
5,1000000,weak,10,0.032721
10,1000000,strong,10,0.003410
6,1000000,weak,10,0.032725
11,1000000,strong,10,0.003031
7,1000000,weak,10,0.032706
12,1000000,strong,10,0.002762
8,1000000,weak,10,0.032740
9,1000000,weak,10,0.033793
10,1000000,weak,10,0.033052
1,100000000,strong,1,3.250092
11,1000000,weak,10,0.032859
12,1000000,weak,10,0.032738
2,100000000,strong,1,1.625539
3,100000000,strong,1,1.090966
1,100000000,weak,1,3.255350
4,100000000,strong,1,0.812239
5,100000000,strong,1,0.649967
2,100000000,weak,1,3.266054
6,100000000,strong,1,0.541711
7,100000000,strong,1,0.481238
8,100000000,strong,1,0.406438
3,100000000,weak,1,3.381517
9,100000000,strong,1,0.361299
10,100000000,strong,1,0.325072
4,100000000,weak,1,3.262272
11,100000000,strong,1,0.306296
12,100000000,strong,1,0.280895
5,100000000,weak,1,3.251335
1,100000000,strong,2,3.368550
6,100000000,weak,1,3.254923
2,100000000,strong,2,1.633032
3,100000000,strong,2,1.090915
7,100000000,weak,1,3.262784
4,100000000,strong,2,0.820302
5,100000000,strong,2,0.650265
8,100000000,weak,1,3.259118
6,100000000,strong,2,0.541683
7,100000000,strong,2,0.464311
8,100000000,strong,2,0.406299
9,100000000,weak,1,3.271026
9,100000000,strong,2,0.361120
10,100000000,strong,2,0.336864
10,100000000,weak,1,3.264505
11,100000000,strong,2,0.306302
12,100000000,strong,2,0.280764
11,100000000,weak,1,3.255927
1,100000000,strong,3,3.249578
12,100000000,weak,1,3.265566
2,100000000,strong,3,1.624790
3,100000000,strong,3,1.082973
1,100000000,weak,2,3.252280
4,100000000,strong,3,0.812332
5,100000000,strong,3,0.649927
2,100000000,weak,2,3.251827
6,100000000,strong,3,0.541713
7,100000000,strong,3,0.464535
8,100000000,strong,3,0.406314
3,100000000,weak,2,3.249406
9,100000000,strong,3,0.374370
10,100000000,strong,3,0.336934
4,100000000,weak,2,3.261333
11,100000000,strong,3,0.306267
12,100000000,strong,3,0.270986
5,100000000,weak,2,3.256327
1,100000000,strong,4,3.249689
6,100000000,weak,2,3.265167
2,100000000,strong,4,1.632580
3,100000000,strong,4,1.083002
7,100000000,weak,2,3.377592
4,100000000,strong,4,0.817525
5,100000000,strong,4,0.650126
8,100000000,weak,2,3.253408
6,100000000,strong,4,0.541625
7,100000000,strong,4,0.464289
8,100000000,strong,4,0.406341
9,100000000,weak,2,3.261453
9,100000000,strong,4,0.361108
10,100000000,strong,4,0.324997
10,100000000,weak,2,3.258677
11,100000000,strong,4,0.295877
12,100000000,strong,4,0.270978
11,100000000,weak,2,3.376378
1,100000000,strong,5,3.249258
2,100000000,strong,5,1.625934
12,100000000,weak,2,3.259286
3,100000000,strong,5,1.083574
1,100000000,weak,3,3.252165
4,100000000,strong,5,0.812864
5,100000000,strong,5,0.649965
6,100000000,strong,5,0.541705
2,100000000,weak,3,3.261790
7,100000000,strong,5,0.481268
8,100000000,strong,5,0.406328
3,100000000,weak,3,3.260973
9,100000000,strong,5,0.361176
10,100000000,strong,5,0.325060
11,100000000,strong,5,0.295482
4,100000000,weak,3,3.260177
12,100000000,strong,5,0.280848
5,100000000,weak,3,3.253952
1,100000000,strong,6,3.249789
6,100000000,weak,3,3.260109
2,100000000,strong,6,1.633120
3,100000000,strong,6,1.083052
7,100000000,weak,3,3.260520
4,100000000,strong,6,0.820355
5,100000000,strong,6,0.649941
6,100000000,strong,6,0.541652
8,100000000,weak,3,3.254895
7,100000000,strong,6,0.481285
8,100000000,strong,6,0.406317
9,100000000,weak,3,3.256580
9,100000000,strong,6,0.361208
10,100000000,strong,6,0.325185
11,100000000,strong,6,0.295571
